                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.2056,                0.53548,                0.87021,                0.93139,                0.81681,                0.88429,                0.54337,                 1.3657,                0.55543,                0.95004,             0.00024762,             0.00024762,             0.00024762
                     84,                 1.2042,                0.53395,                0.87256,                0.94157,                0.81083,                0.87422,                0.53241,                  1.382,                0.55383,                0.95141,             0.00023525,             0.00023525,             0.00023525
                     85,                 1.1831,                0.52879,                0.86977,                0.93331,                0.81948,                0.88051,                0.53515,                 1.3604,                0.54815,                0.95129,             0.00022288,             0.00022288,             0.00022288
                     86,                  1.178,                0.52097,                0.86713,                 0.9102,                0.79592,                0.86396,                0.50456,                 1.4525,                0.56079,                0.96545,              0.0002105,              0.0002105,              0.0002105
                     87,                 1.1674,                0.51838,                0.86708,                0.92851,                0.82151,                0.87979,                0.52154,                 1.4179,                0.55886,                0.96081,             0.00019813,             0.00019813,             0.00019813
                     88,                 1.1528,                0.51021,                 0.8613,                0.90535,                0.79854,                0.87259,                0.53502,                 1.3641,                0.54527,                0.95148,             0.00018575,             0.00018575,             0.00018575
                     89,                 1.1312,                0.51296,                0.87393,                0.92104,                0.83296,                0.89211,                0.54746,                 1.3918,                0.54911,                0.96039,             0.00017338,             0.00017338,             0.00017338
                     90,                 1.1429,                 0.5077,                0.86333,                0.92874,                0.82322,                0.88613,                0.57069,                 1.3547,                0.54326,                0.95262,               0.000161,               0.000161,               0.000161
                     91,                 1.1216,                0.49617,                0.87696,                0.92394,                0.83166,                0.88539,                 0.5377,                 1.4073,                 0.5548,                0.96298,             0.00014862,             0.00014862,             0.00014862
                     92,                 1.1095,                0.49302,                0.86539,                0.91667,                0.82888,                 0.8855,                0.53364,                 1.3934,                0.55013,                0.96272,             0.00013625,             0.00013625,             0.00013625
                     93,                 1.1071,                0.48968,                0.86252,                0.92962,                0.83011,                0.88924,                0.54859,                 1.3895,                0.54712,                0.96163,             0.00012387,             0.00012387,             0.00012387
                     94,                 1.1155,                0.48632,                0.87954,                0.90497,                 0.8292,                0.88363,                0.54014,                 1.4266,                0.55799,                 0.9691,              0.0001115,              0.0001115,              0.0001115
                     95,                 1.0955,                0.47855,                0.86743,                0.90499,                0.82464,                0.88443,                0.55023,                 1.3936,                0.54641,                0.95812,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                 1.0851,                0.48155,                0.86396,                0.92585,                0.82621,                 0.8878,                0.55663,                 1.3763,                0.54511,                0.95868,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                 1.1006,                0.48627,                0.85403,                0.92513,                0.83139,                0.88878,                0.55217,                 1.3738,                 0.5432,                0.95729,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                 1.1146,                0.48323,                0.86496,                0.92138,                0.83389,                0.88916,                0.54423,                 1.3928,                 0.5406,                0.95926,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                 1.0608,                0.47167,                0.85613,                0.92595,                0.83239,                 0.8889,                0.56039,                  1.363,                0.53795,                0.95349,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                 1.0806,                0.47226,                0.85421,                0.91957,                0.83154,                0.88818,                0.54687,                 1.3782,                 0.5388,                0.95574,              3.725e-05,              3.725e-05,              3.725e-05
