                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.7402,                0.65425,                0.86473,                0.76469,                0.80695,                0.82482,                 0.3537,                 1.7805,                0.73155,                0.90074,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.7946,                0.65125,                0.86717,                0.84928,                 0.8391,                0.87371,                0.38478,                 1.9158,                0.72988,                0.92982,               0.000911,               0.000911,               0.000911
                     58,                 1.7794,                0.66386,                0.86995,                 0.5712,                0.53274,                0.53812,                0.19121,                 2.0192,                0.78892,                0.91989,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.7345,                0.65124,                  0.865,                0.79638,                0.79512,                0.83343,                0.36093,                 1.8286,                0.72508,                0.90772,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.7273,                0.64493,                0.86349,                0.80704,                0.80211,                0.84667,                0.37391,                 1.8023,                0.72059,                0.89897,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.6978,                 0.6333,                0.86391,                 0.7905,                0.80809,                 0.8357,                0.37408,                  1.684,                0.69946,                0.88379,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.7514,                0.64932,                0.86349,                0.75575,                0.79556,                0.81332,                0.34772,                 1.8492,                0.72932,                0.91178,               0.000812,               0.000812,               0.000812
                     63,                 1.7192,                0.64595,                0.86482,                0.78501,                0.79527,                0.83188,                0.36754,                 1.7158,                0.69578,                0.88752,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.7167,                0.63872,                0.86427,                0.76996,                0.74336,                0.78964,                0.32222,                 1.8854,                0.75063,                0.90731,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.7086,                0.64487,                0.86448,                0.74318,                0.73498,                0.76219,                0.30049,                 1.8465,                 0.7343,                0.90186,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.7026,                 0.6432,                0.86399,                0.80087,                0.78616,                0.83125,                0.35691,                 1.8056,                0.71419,                0.90587,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.7401,                0.64361,                0.85892,                0.76437,                 0.7594,                0.79869,                 0.3289,                 1.8102,                0.71046,                0.89839,               0.000713,               0.000713,               0.000713
                     68,                 1.6985,                 0.6281,                0.85708,                0.77065,                0.79029,                0.82094,                0.34784,                 1.8012,                0.71345,                0.89753,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.6805,                0.62875,                0.85902,                0.69911,                0.70245,                0.72618,                 0.2908,                 1.8261,                0.73732,                0.89651,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.6876,                0.63285,                0.85946,                0.78594,                0.77192,                0.81537,                0.35708,                 1.7281,                 0.6871,                0.88948,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.7115,                0.63254,                0.85629,                0.83591,                0.82147,                0.86613,                0.40172,                 1.6842,                0.70391,                0.88804,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.6895,                0.62632,                0.85958,                0.77521,                 0.7875,                0.82383,                0.36473,                 1.7238,                0.68154,                0.89246,               0.000614,               0.000614,               0.000614
                     73,                 1.6772,                0.62074,                 0.8566,                0.72667,                0.74687,                0.77376,                 0.3161,                 1.8467,                 0.7118,                0.90515,              0.0005942,              0.0005942,              0.0005942
                     74,                  1.668,                0.62499,                0.85633,                0.75934,                 0.7762,                0.80964,                0.34815,                 1.7331,                0.70181,                0.89134,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.6762,                0.61951,                0.85712,                0.83928,                0.81464,                0.86885,                 0.4119,                 1.6687,                0.65929,                0.88805,              0.0005546,              0.0005546,              0.0005546
